bed_id,hospital_branch,department,bed_type,status,floor
BED_001,Westside Clinic,Emergency,Standard,Occupied,Floor 3
BED_002,Westside Clinic,Emergency,ICU Bed,Occupied,Floor 2
BED_003,Westside Clinic,Emergency,Standard,Maintenance,Floor 1
BED_004,Westside Clinic,Emergency,Semi-Private,Occupied,Floor 1
BED_005,Westside Clinic,Emergency,Standard,Occupied,Floor 2
BED_006,Westside Clinic,Emergency,Standard,Maintenance,Floor 2
BED_007,Westside Clinic,Emergency,Semi-Private,Occupied,Floor 4
BED_008,Westside Clinic,Emergency,Ventilator Bed,Occupied,Floor 2
BED_009,Westside Clinic,Emergency,Semi-Private,Available,Floor 3
BED_010,Westside Clinic,Emergency,ICU Bed,Occupied,Floor 3
BED_011,Westside Clinic,Emergency,Standard,Occupied,Floor 4
BED_012,Westside Clinic,Emergency,Standard,Available,Floor 3
BED_013,Westside Clinic,Emergency,Ventilator Bed,Occupied,Floor 4
BED_014,Westside Clinic,Emergency,Standard,Available,Floor 1
BED_015,Westside Clinic,Emergency,Ventilator Bed,Maintenance,Floor 3
BED_016,Westside Clinic,Emergency,ICU Bed,Maintenance,Floor 1
BED_017,Westside Clinic,Emergency,Standard,Maintenance,Floor 2
BED_018,Westside Clinic,Emergency,Ventilator Bed,Occupied,Floor 2
BED_019,Westside Clinic,Emergency,Standard,Available,Floor 3
BED_020,Westside Clinic,Emergency,Semi-Private,Maintenance,Floor 3
BED_021,Westside Clinic,Emergency,ICU Bed,Available,Floor 3
BED_022,Westside Clinic,Emergency,ICU Bed,Maintenance,Floor 3
BED_023,Westside Clinic,Emergency,Standard,Maintenance,Floor 2
BED_024,Westside Clinic,Emergency,ICU Bed,Occupied,Floor 4
BED_025,Westside Clinic,Emergency,Semi-Private,Available,Floor 2
BED_026,Westside Clinic,ICU,ICU Bed,Available,Floor 1
BED_027,Westside Clinic,ICU,ICU Bed,Occupied,Floor 1
BED_028,Westside Clinic,ICU,ICU Bed,Available,Floor 4
BED_029,Westside Clinic,ICU,ICU Bed,Available,Floor 1
BED_030,Westside Clinic,ICU,ICU Bed,Occupied,Floor 3
BED_031,Westside Clinic,ICU,ICU Bed,Occupied,Floor 4
BED_032,Westside Clinic,ICU,ICU Bed,Available,Floor 4
BED_033,Westside Clinic,ICU,ICU Bed,Occupied,Floor 3
BED_034,Westside Clinic,ICU,ICU Bed,Occupied,Floor 2
BED_035,Westside Clinic,ICU,ICU Bed,Maintenance,Floor 3
BED_036,Westside Clinic,ICU,ICU Bed,Maintenance,Floor 4
BED_037,Westside Clinic,ICU,ICU Bed,Maintenance,Floor 4
BED_038,Westside Clinic,ICU,ICU Bed,Available,Floor 2
BED_039,Westside Clinic,ICU,ICU Bed,Occupied,Floor 4
BED_040,Westside Clinic,ICU,ICU Bed,Occupied,Floor 1
BED_041,Westside Clinic,ICU,ICU Bed,Occupied,Floor 2
BED_042,Westside Clinic,ICU,ICU Bed,Maintenance,Floor 2
BED_043,Westside Clinic,ICU,ICU Bed,Maintenance,Floor 4
BED_044,Westside Clinic,ICU,ICU Bed,Maintenance,Floor 1
BED_045,Westside Clinic,ICU,ICU Bed,Available,Floor 4
BED_046,Westside Clinic,ICU,ICU Bed,Maintenance,Floor 4
BED_047,Westside Clinic,ICU,ICU Bed,Maintenance,Floor 3
BED_048,Westside Clinic,ICU,ICU Bed,Maintenance,Floor 1
BED_049,Westside Clinic,ICU,ICU Bed,Maintenance,Floor 1
BED_050,Westside Clinic,ICU,ICU Bed,Maintenance,Floor 3
BED_051,Westside Clinic,General Ward,Ventilator Bed,Occupied,Floor 3
BED_052,Westside Clinic,General Ward,Semi-Private,Occupied,Floor 4
BED_053,Westside Clinic,General Ward,Standard,Maintenance,Floor 3
BED_054,Westside Clinic,General Ward,ICU Bed,Maintenance,Floor 1
BED_055,Westside Clinic,General Ward,Ventilator Bed,Maintenance,Floor 2
BED_056,Westside Clinic,General Ward,ICU Bed,Available,Floor 2
BED_057,Westside Clinic,General Ward,Standard,Maintenance,Floor 3
BED_058,Westside Clinic,General Ward,Semi-Private,Occupied,Floor 1
BED_059,Westside Clinic,General Ward,Ventilator Bed,Available,Floor 2
BED_060,Westside Clinic,General Ward,Standard,Occupied,Floor 1
BED_061,Westside Clinic,General Ward,Standard,Maintenance,Floor 4
BED_062,Westside Clinic,General Ward,Standard,Maintenance,Floor 2
BED_063,Westside Clinic,General Ward,ICU Bed,Maintenance,Floor 4
BED_064,Westside Clinic,General Ward,ICU Bed,Available,Floor 4
BED_065,Westside Clinic,General Ward,ICU Bed,Maintenance,Floor 2
BED_066,Westside Clinic,General Ward,Ventilator Bed,Available,Floor 3
BED_067,Westside Clinic,General Ward,Semi-Private,Maintenance,Floor 4
BED_068,Westside Clinic,General Ward,Standard,Occupied,Floor 2
BED_069,Westside Clinic,General Ward,Standard,Available,Floor 1
