Department_ID,Department_Name,Floor,Head_Doctor
D001,Cardiology,6,Doctor_1
D002,Neurology,3,Doctor_2
D003,Orthopedics,7,Doctor_3
D004,Pediatrics,1,Doctor_4
D005,Oncology,2,Doctor_5
D006,ENT,2,Doctor_6
D007,Dermatology,6,Doctor_7
D008,General Surgery,1,Doctor_8
D009,Urology,4,Doctor_9
D010,Nephrology,1,Doctor_10
D011,Gynecology,2,Doctor_11
D012,Psychiatry,7,Doctor_12
D013,Pulmonology,7,Doctor_13
D014,Gastroenterology,2,Doctor_14
D015,Emergency,4,Doctor_15
D016,Radiology,2,Doctor_16
D017,ICU,7,Doctor_17
D018,Ophthalmology,1,Doctor_18
D019,Endocrinology,2,Doctor_19
D020,Dental,4,Doctor_20
