Doctor_ID,Doctor_Name,Gender,Department_ID,Specialization,Qualification,Experience_Years,Shift
DR00001,Doctor_1,Male,D001,Cardiology,MCh,26,Morning
DR00002,Doctor_2,Male,D002,Neurology,MBBS,9,Evening
DR00003,Doctor_3,Female,D003,Orthopedics,MD,35,Morning
DR00004,Doctor_4,Female,D004,Pediatrics,MCh,12,Morning
DR00005,Doctor_5,Male,D005,Oncology,MS,7,Night
DR00006,Doctor_6,Male,D006,ENT,MCh,4,Night
DR00007,Doctor_7,Male,D007,Dermatology,DM,35,Evening
DR00008,Doctor_8,Female,D008,General Surgery,DM,30,Evening
DR00009,Doctor_9,Female,D009,Urology,MD,12,Night
DR00010,Doctor_10,Male,D010,Nephrology,MBBS,20,Night
DR00011,Doctor_11,Female,D011,Gynecology,MS,29,Evening
DR00012,Doctor_12,Male,D012,Psychiatry,MBBS,33,Evening
DR00013,Doctor_13,Male,D013,Pulmonology,MS,10,Evening
DR00014,Doctor_14,Female,D014,Gastroenterology,MBBS,5,Night
DR00015,Doctor_15,Female,D015,Emergency,MS,23,Night
DR00016,Doctor_16,Female,D016,Radiology,MCh,30,Morning
DR00017,Doctor_17,Male,D017,ICU,MS,31,Night
DR00018,Doctor_18,Male,D018,Ophthalmology,MBBS,20,Night
DR00019,Doctor_19,Female,D019,Endocrinology,MS,25,Night
DR00020,Doctor_20,Female,D020,Dental,MBBS,30,Evening
DR00021,Doctor_21,Male,D001,Cardiology,MCh,8,Evening
DR00022,Doctor_22,Male,D002,Neurology,MD,19,Morning
DR00023,Doctor_23,Male,D003,Orthopedics,DM,26,Evening
DR00024,Doctor_24,Male,D004,Pediatrics,MD,29,Evening
DR00025,Doctor_25,Female,D005,Oncology,MD,28,Night
DR00026,Doctor_26,Female,D006,ENT,DM,23,Night
DR00027,Doctor_27,Female,D007,Dermatology,MD,10,Morning
DR00028,Doctor_28,Male,D008,General Surgery,MD,15,Night
DR00029,Doctor_29,Male,D009,Urology,MBBS,32,Night
DR00030,Doctor_30,Male,D010,Nephrology,MS,19,Morning
DR00031,Doctor_31,Male,D011,Gynecology,DM,35,Evening
DR00032,Doctor_32,Female,D012,Psychiatry,MD,33,Night
DR00033,Doctor_33,Male,D013,Pulmonology,DM,26,Evening
DR00034,Doctor_34,Female,D014,Gastroenterology,DM,7,Evening
DR00035,Doctor_35,Female,D015,Emergency,MBBS,13,Morning
DR00036,Doctor_36,Male,D016,Radiology,DM,11,Morning
DR00037,Doctor_37,Female,D017,ICU,MCh,4,Morning
DR00038,Doctor_38,Male,D018,Ophthalmology,MCh,10,Night
DR00039,Doctor_39,Male,D019,Endocrinology,MS,2,Morning
DR00040,Doctor_40,Male,D020,Dental,MCh,25,Morning
DR00041,Doctor_41,Female,D001,Cardiology,MS,24,Evening
DR00042,Doctor_42,Male,D002,Neurology,MBBS,32,Evening
DR00043,Doctor_43,Female,D003,Orthopedics,DM,20,Morning
DR00044,Doctor_44,Male,D004,Pediatrics,MBBS,22,Night
DR00045,Doctor_45,Female,D005,Oncology,DM,11,Night
DR00046,Doctor_46,Male,D006,ENT,MD,34,Evening
DR00047,Doctor_47,Male,D007,Dermatology,MCh,2,Night
DR00048,Doctor_48,Female,D008,General Surgery,MBBS,17,Night
DR00049,Doctor_49,Female,D009,Urology,MD,23,Morning
DR00050,Doctor_50,Female,D010,Nephrology,MD,13,Morning
DR00051,Doctor_51,Female,D011,Gynecology,MD,13,Night
DR00052,Doctor_52,Female,D012,Psychiatry,MS,2,Morning
DR00053,Doctor_53,Female,D013,Pulmonology,DM,17,Morning
DR00054,Doctor_54,Female,D014,Gastroenterology,DM,23,Evening
DR00055,Doctor_55,Male,D015,Emergency,MD,7,Morning
DR00056,Doctor_56,Female,D016,Radiology,MD,22,Morning
DR00057,Doctor_57,Female,D017,ICU,MCh,1,Evening
DR00058,Doctor_58,Female,D018,Ophthalmology,MBBS,8,Evening
DR00059,Doctor_59,Male,D019,Endocrinology,DM,12,Evening
DR00060,Doctor_60,Female,D020,Dental,MBBS,26,Evening
DR00061,Doctor_61,Female,D001,Cardiology,MBBS,11,Morning
DR00062,Doctor_62,Male,D002,Neurology,MBBS,10,Night
DR00063,Doctor_63,Female,D003,Orthopedics,MD,31,Night
DR00064,Doctor_64,Female,D004,Pediatrics,MD,9,Morning
DR00065,Doctor_65,Male,D005,Oncology,MBBS,34,Night
DR00066,Doctor_66,Male,D006,ENT,DM,13,Morning
DR00067,Doctor_67,Male,D007,Dermatology,MS,14,Evening
DR00068,Doctor_68,Male,D008,General Surgery,MCh,21,Evening
DR00069,Doctor_69,Female,D009,Urology,MD,4,Night
DR00070,Doctor_70,Female,D010,Nephrology,DM,34,Evening
DR00071,Doctor_71,Male,D011,Gynecology,MCh,10,Night
DR00072,Doctor_72,Male,D012,Psychiatry,DM,12,Night
DR00073,Doctor_73,Male,D013,Pulmonology,MD,12,Morning
DR00074,Doctor_74,Female,D014,Gastroenterology,MCh,8,Night
DR00075,Doctor_75,Male,D015,Emergency,MS,34,Night
DR00076,Doctor_76,Female,D016,Radiology,MBBS,4,Morning
DR00077,Doctor_77,Male,D017,ICU,MS,3,Morning
DR00078,Doctor_78,Female,D018,Ophthalmology,MCh,2,Morning
DR00079,Doctor_79,Female,D019,Endocrinology,MS,33,Night
DR00080,Doctor_80,Male,D020,Dental,MS,29,Night
DR00081,Doctor_81,Female,D001,Cardiology,MCh,16,Night
DR00082,Doctor_82,Female,D002,Neurology,MCh,13,Evening
DR00083,Doctor_83,Male,D003,Orthopedics,DM,8,Evening
DR00084,Doctor_84,Female,D004,Pediatrics,MS,5,Night
DR00085,Doctor_85,Male,D005,Oncology,DM,5,Morning
DR00086,Doctor_86,Female,D006,ENT,MBBS,10,Night
DR00087,Doctor_87,Female,D007,Dermatology,MD,17,Morning
DR00088,Doctor_88,Female,D008,General Surgery,MD,7,Evening
DR00089,Doctor_89,Female,D009,Urology,MD,15,Morning
DR00090,Doctor_90,Female,D010,Nephrology,MCh,26,Evening
DR00091,Doctor_91,Female,D011,Gynecology,MD,23,Evening
DR00092,Doctor_92,Male,D012,Psychiatry,MS,2,Evening
DR00093,Doctor_93,Female,D013,Pulmonology,DM,2,Evening
DR00094,Doctor_94,Female,D014,Gastroenterology,MCh,19,Night
DR00095,Doctor_95,Male,D015,Emergency,MBBS,15,Morning
DR00096,Doctor_96,Male,D016,Radiology,MS,18,Morning
DR00097,Doctor_97,Male,D017,ICU,MS,9,Evening
DR00098,Doctor_98,Female,D018,Ophthalmology,DM,10,Night
DR00099,Doctor_99,Female,D019,Endocrinology,MS,6,Evening
DR00100,Doctor_100,Male,D020,Dental,MD,28,Morning
DR00101,Doctor_101,Female,D001,Cardiology,MBBS,6,Evening
DR00102,Doctor_102,Male,D002,Neurology,MCh,15,Morning
DR00103,Doctor_103,Female,D003,Orthopedics,MBBS,30,Morning
DR00104,Doctor_104,Female,D004,Pediatrics,MCh,27,Evening
DR00105,Doctor_105,Male,D005,Oncology,MBBS,34,Night
DR00106,Doctor_106,Male,D006,ENT,MBBS,11,Evening
DR00107,Doctor_107,Male,D007,Dermatology,MD,13,Evening
DR00108,Doctor_108,Female,D008,General Surgery,MCh,14,Evening
DR00109,Doctor_109,Female,D009,Urology,MCh,12,Evening
DR00110,Doctor_110,Female,D010,Nephrology,MBBS,17,Morning
DR00111,Doctor_111,Male,D011,Gynecology,MBBS,33,Night
DR00112,Doctor_112,Male,D012,Psychiatry,MCh,31,Morning
DR00113,Doctor_113,Female,D013,Pulmonology,MBBS,28,Night
DR00114,Doctor_114,Female,D014,Gastroenterology,MCh,26,Night
DR00115,Doctor_115,Female,D015,Emergency,MD,15,Evening
DR00116,Doctor_116,Male,D016,Radiology,MD,26,Evening
DR00117,Doctor_117,Male,D017,ICU,MD,1,Morning
DR00118,Doctor_118,Female,D018,Ophthalmology,DM,11,Morning
DR00119,Doctor_119,Male,D019,Endocrinology,DM,33,Night
DR00120,Doctor_120,Female,D020,Dental,MCh,16,Night
DR00121,Doctor_121,Female,D001,Cardiology,MBBS,30,Morning
DR00122,Doctor_122,Male,D002,Neurology,MS,29,Morning
DR00123,Doctor_123,Female,D003,Orthopedics,MS,22,Night
DR00124,Doctor_124,Female,D004,Pediatrics,MD,3,Evening
DR00125,Doctor_125,Male,D005,Oncology,MS,12,Morning
DR00126,Doctor_126,Female,D006,ENT,DM,6,Evening
DR00127,Doctor_127,Female,D007,Dermatology,MCh,13,Morning
DR00128,Doctor_128,Male,D008,General Surgery,MBBS,17,Morning
DR00129,Doctor_129,Male,D009,Urology,DM,3,Evening
DR00130,Doctor_130,Male,D010,Nephrology,MS,20,Night
DR00131,Doctor_131,Male,D011,Gynecology,MBBS,34,Morning
DR00132,Doctor_132,Female,D012,Psychiatry,MS,32,Morning
DR00133,Doctor_133,Female,D013,Pulmonology,MCh,10,Morning
DR00134,Doctor_134,Female,D014,Gastroenterology,MCh,9,Night
DR00135,Doctor_135,Male,D015,Emergency,MCh,15,Morning
DR00136,Doctor_136,Male,D016,Radiology,MBBS,9,Night
DR00137,Doctor_137,Female,D017,ICU,MBBS,25,Evening
DR00138,Doctor_138,Male,D018,Ophthalmology,MBBS,35,Night
DR00139,Doctor_139,Male,D019,Endocrinology,DM,17,Morning
DR00140,Doctor_140,Female,D020,Dental,MBBS,33,Night
DR00141,Doctor_141,Male,D001,Cardiology,MCh,5,Night
DR00142,Doctor_142,Female,D002,Neurology,MS,5,Evening
DR00143,Doctor_143,Male,D003,Orthopedics,MD,15,Night
DR00144,Doctor_144,Female,D004,Pediatrics,DM,25,Morning
DR00145,Doctor_145,Female,D005,Oncology,MS,3,Night
DR00146,Doctor_146,Male,D006,ENT,MBBS,10,Evening
DR00147,Doctor_147,Female,D007,Dermatology,MS,9,Morning
DR00148,Doctor_148,Female,D008,General Surgery,MBBS,32,Evening
DR00149,Doctor_149,Male,D009,Urology,MD,32,Evening
DR00150,Doctor_150,Female,D010,Nephrology,DM,30,Evening
DR00151,Doctor_151,Male,D011,Gynecology,MCh,13,Evening
DR00152,Doctor_152,Male,D012,Psychiatry,DM,2,Evening
DR00153,Doctor_153,Female,D013,Pulmonology,MBBS,33,Evening
DR00154,Doctor_154,Female,D014,Gastroenterology,DM,14,Morning
DR00155,Doctor_155,Male,D015,Emergency,MCh,6,Morning
DR00156,Doctor_156,Female,D016,Radiology,MS,9,Night
DR00157,Doctor_157,Female,D017,ICU,MBBS,24,Morning
DR00158,Doctor_158,Female,D018,Ophthalmology,DM,26,Morning
DR00159,Doctor_159,Male,D019,Endocrinology,MBBS,32,Night
DR00160,Doctor_160,Female,D020,Dental,DM,20,Night
DR00161,Doctor_161,Male,D001,Cardiology,DM,23,Evening
DR00162,Doctor_162,Female,D002,Neurology,MBBS,22,Morning
DR00163,Doctor_163,Female,D003,Orthopedics,MS,26,Morning
