Doctor_Name,Patient_ID
Doctor_39,21
Doctor_182,19
Doctor_15,18
Doctor_469,18
Doctor_273,18
Doctor_30,18
Doctor_168,17
Doctor_370,17
Doctor_397,17
Doctor_311,17
Doctor_56,17
Doctor_429,16
Doctor_478,16
Doctor_246,16
Doctor_310,16
Doctor_305,16
Doctor_415,16
Doctor_24,16
Doctor_375,16
Doctor_103,16
Doctor_60,15
Doctor_498,15
Doctor_419,15
Doctor_62,15
Doctor_162,15
Doctor_130,15
Doctor_233,15
Doctor_420,15
Doctor_177,15
Doctor_450,15
Doctor_259,15
Doctor_496,15
Doctor_87,15
Doctor_112,15
Doctor_104,15
Doctor_376,15
Doctor_75,15
Doctor_306,14
Doctor_357,14
Doctor_314,14
Doctor_80,14
Doctor_1,14
Doctor_38,14
Doctor_74,14
Doctor_12,14
Doctor_197,14
Doctor_194,14
Doctor_48,14
Doctor_201,14
Doctor_113,14
Doctor_84,14
Doctor_265,14
Doctor_437,14
Doctor_261,14
Doctor_441,14
Doctor_289,14
Doctor_425,14
Doctor_497,14
Doctor_440,14
Doctor_329,14
Doctor_134,14
Doctor_391,14
Doctor_61,14
Doctor_91,14
Doctor_100,13
Doctor_343,13
Doctor_365,13
Doctor_398,13
Doctor_395,13
Doctor_115,13
Doctor_13,13
Doctor_379,13
Doctor_11,13
Doctor_383,13
Doctor_388,13
Doctor_309,13
Doctor_339,13
Doctor_358,13
Doctor_355,13
Doctor_36,13
Doctor_323,13
Doctor_214,13
Doctor_27,13
Doctor_491,13
Doctor_290,13
Doctor_294,13
Doctor_492,13
Doctor_432,13
Doctor_433,13
Doctor_446,13
Doctor_483,13
Doctor_188,13
Doctor_215,13
Doctor_462,13
Doctor_466,13
Doctor_237,13
Doctor_196,13
Doctor_460,13
Doctor_232,13
Doctor_207,13
Doctor_473,13
Doctor_90,13
Doctor_210,13
Doctor_126,13
Doctor_116,13
Doctor_76,13
Doctor_78,13
Doctor_9,12
Doctor_88,12
Doctor_464,12
Doctor_467,12
Doctor_205,12
Doctor_204,12
Doctor_279,12
Doctor_277,12
Doctor_184,12
Doctor_284,12
Doctor_250,12
Doctor_271,12
Doctor_260,12
Doctor_191,12
Doctor_480,12
Doctor_200,12
Doctor_242,12
Doctor_459,12
Doctor_421,12
Doctor_418,12
Doctor_312,12
Doctor_33,12
Doctor_327,12
Doctor_411,12
Doctor_34,12
Doctor_319,12
Doctor_185,12
Doctor_166,12
Doctor_161,12
Doctor_296,12
Doctor_484,12
Doctor_295,12
Doctor_485,12
Doctor_180,12
Doctor_81,12
Doctor_384,12
Doctor_144,12
Doctor_382,12
Doctor_54,12
Doctor_154,12
Doctor_403,12
Doctor_4,12
Doctor_143,12
Doctor_394,12
Doctor_41,12
Doctor_456,11
Doctor_274,11
Doctor_230,11
Doctor_199,11
Doctor_245,11
Doctor_399,11
Doctor_368,11
Doctor_364,11
Doctor_360,11
Doctor_109,11
Doctor_131,11
Doctor_63,11
Doctor_377,11
Doctor_52,11
Doctor_145,11
Doctor_51,11
Doctor_351,11
Doctor_350,11
Doctor_348,11
Doctor_146,11
Doctor_412,11
Doctor_42,11
Doctor_426,11
Doctor_336,11
Doctor_344,11
Doctor_335,11
Doctor_288,11
Doctor_285,11
Doctor_170,11
Doctor_32,11
Doctor_345,11
Doctor_5,11
Doctor_494,11
Doctor_172,11
Doctor_165,11
Doctor_167,11
Doctor_408,11
Doctor_235,11
Doctor_219,11
Doctor_236,11
Doctor_457,11
Doctor_468,11
Doctor_79,11
Doctor_128,11
Doctor_118,11
Doctor_89,11
Doctor_209,11
Doctor_474,11
Doctor_47,11
Doctor_266,11
Doctor_448,11
Doctor_193,11
Doctor_272,11
Doctor_175,11
Doctor_482,11
Doctor_297,11
Doctor_386,10
Doctor_385,10
Doctor_66,10
Doctor_140,10
Doctor_67,10
Doctor_371,10
Doctor_107,10
Doctor_392,10
Doctor_387,10
Doctor_155,10
Doctor_150,10
Doctor_353,10
Doctor_407,10
Doctor_29,10
Doctor_430,10
Doctor_293,10
Doctor_495,10
Doctor_49,10
Doctor_300,10
Doctor_481,10
Doctor_176,10
Doctor_322,10
Doctor_373,10
Doctor_356,10
Doctor_374,10
Doctor_152,10
Doctor_313,10
Doctor_447,10
Doctor_229,10
Doctor_461,10
Doctor_228,10
Doctor_2,10
Doctor_453,10
Doctor_458,10
Doctor_470,10
Doctor_225,10
Doctor_192,10
Doctor_251,10
Doctor_442,10
Doctor_44,10
Doctor_287,10
Doctor_77,10
Doctor_83,10
Doctor_119,10
Doctor_69,10
Doctor_21,10
Doctor_202,10
Doctor_206,10
Doctor_203,10
Doctor_465,10
Doctor_282,10
Doctor_276,10
Doctor_301,10
Doctor_283,10
Doctor_308,10
Doctor_304,10
Doctor_499,10
Doctor_413,10
Doctor_341,10
Doctor_417,10
Doctor_471,9
Doctor_181,9
Doctor_281,9
Doctor_436,9
Doctor_434,9
Doctor_25,9
Doctor_267,9
Doctor_445,9
Doctor_439,9
Doctor_252,9
Doctor_248,9
Doctor_256,9
Doctor_218,9
Doctor_220,9
Doctor_477,9
Doctor_451,9
Doctor_452,9
Doctor_231,9
Doctor_239,9
Doctor_244,9
Doctor_224,9
Doctor_121,9
Doctor_129,9
Doctor_120,9
Doctor_97,9
Doctor_213,9
Doctor_110,9
Doctor_94,9
Doctor_96,9
Doctor_211,9
Doctor_428,9
Doctor_431,9
Doctor_493,9
Doctor_409,9
Doctor_334,9
Doctor_340,9
Doctor_423,9
Doctor_328,9
Doctor_303,9
Doctor_325,9
Doctor_320,9
Doctor_298,9
Doctor_173,9
Doctor_488,9
Doctor_486,9
Doctor_43,9
Doctor_405,9
Doctor_359,9
Doctor_346,9
Doctor_366,9
Doctor_37,9
Doctor_50,9
Doctor_500,9
Doctor_153,9
Doctor_362,9
Doctor_400,9
Doctor_396,9
Doctor_393,9
Doctor_158,9
Doctor_390,9
Doctor_389,9
Doctor_8,9
Doctor_82,9
Doctor_102,9
Doctor_99,9
Doctor_106,8
Doctor_85,8
Doctor_361,8
Doctor_363,8
Doctor_95,8
Doctor_92,8
Doctor_86,8
Doctor_331,8
Doctor_333,8
Doctor_342,8
Doctor_410,8
Doctor_404,8
Doctor_354,8
Doctor_35,8
Doctor_338,8
Doctor_349,8
Doctor_151,8
Doctor_147,8
Doctor_208,8
Doctor_463,8
Doctor_222,8
Doctor_216,8
Doctor_243,8
Doctor_258,8
Doctor_254,8
Doctor_454,8
Doctor_443,8
Doctor_278,8
Doctor_438,8
Doctor_262,8
Doctor_427,8
Doctor_422,8
Doctor_299,8
Doctor_291,8
Doctor_31,8
Doctor_330,8
Doctor_307,8
Doctor_324,8
Doctor_318,8
Doctor_187,8
Doctor_159,8
Doctor_157,8
Doctor_58,8
Doctor_65,8
Doctor_139,8
Doctor_6,8
Doctor_59,8
Doctor_136,8
Doctor_122,8
Doctor_117,8
Doctor_98,8
Doctor_127,8
Doctor_14,8
Doctor_133,8
Doctor_68,8
Doctor_164,8
Doctor_163,8
Doctor_16,8
Doctor_476,8
Doctor_198,8
Doctor_195,8
Doctor_190,8
Doctor_179,8
Doctor_178,8
Doctor_186,8
Doctor_18,8
Doctor_19,8
Doctor_105,7
Doctor_352,7
Doctor_380,7
Doctor_101,7
Doctor_135,7
Doctor_70,7
Doctor_124,7
Doctor_141,7
Doctor_57,7
Doctor_20,7
Doctor_137,7
Doctor_149,7
Doctor_253,7
Doctor_255,7
Doctor_240,7
Doctor_45,7
Doctor_171,7
Doctor_416,7
Doctor_372,7
Doctor_337,7
Doctor_401,7
Doctor_367,7
Doctor_332,7
Doctor_23,7
Doctor_46,7
Doctor_444,7
Doctor_286,7
Doctor_212,7
Doctor_263,7
Doctor_268,7
Doctor_269,7
Doctor_28,7
Doctor_26,7
Doctor_315,7
Doctor_321,7
Doctor_316,7
Doctor_472,7
Doctor_10,6
Doctor_64,6
Doctor_479,6
Doctor_17,6
Doctor_125,6
Doctor_490,6
Doctor_148,6
Doctor_487,6
Doctor_160,6
Doctor_347,6
Doctor_414,6
Doctor_402,6
Doctor_169,6
Doctor_174,6
Doctor_142,6
Doctor_264,6
Doctor_3,6
Doctor_326,6
Doctor_247,6
Doctor_221,6
Doctor_22,6
Doctor_223,6
Doctor_302,6
Doctor_217,6
Doctor_475,6
Doctor_249,6
Doctor_257,6
Doctor_238,6
Doctor_226,6
Doctor_227,6
Doctor_108,5
Doctor_73,5
Doctor_7,5
Doctor_317,5
Doctor_406,5
Doctor_378,5
Doctor_40,5
Doctor_93,5
Doctor_114,5
Doctor_111,5
Doctor_424,5
Doctor_435,5
Doctor_138,5
Doctor_234,5
Doctor_275,5
Doctor_241,5
Doctor_449,5
Doctor_489,5
Doctor_132,5
Doctor_72,5
Doctor_71,5
Doctor_55,5
Doctor_53,5
Doctor_183,4
Doctor_381,4
Doctor_123,4
Doctor_455,4
Doctor_292,4
Doctor_280,4
Doctor_156,4
Doctor_369,3
Doctor_189,3
Doctor_270,2
