,department_name,Month,Admission_Count
0,Cardiology,2025-01,19
1,Cardiology,2025-02,19
2,Cardiology,2025-03,29
3,Cardiology,2025-04,20
4,Cardiology,2025-05,28
5,Cardiology,2025-06,18
6,Cardiology,2025-07,22
7,Cardiology,2025-08,31
8,Cardiology,2025-09,21
9,Cardiology,2025-10,26
10,Dental,2025-01,24
11,Dental,2025-02,19
12,Dental,2025-03,26
13,Dental,2025-04,31
14,Dental,2025-05,33
15,Dental,2025-06,26
16,Dental,2025-07,26
17,Dental,2025-08,21
18,Dental,2025-09,28
19,Dental,2025-10,19
20,Dermatology,2025-01,13
21,Dermatology,2025-02,18
22,Dermatology,2025-03,17
23,Dermatology,2025-04,16
24,Dermatology,2025-05,11
25,Dermatology,2025-06,18
26,Dermatology,2025-07,22
27,Dermatology,2025-08,25
28,Dermatology,2025-09,22
29,Dermatology,2025-10,17
30,ENT,2025-01,22
31,ENT,2025-02,29
32,ENT,2025-03,23
33,ENT,2025-04,13
34,ENT,2025-05,24
35,ENT,2025-06,23
36,ENT,2025-07,20
37,ENT,2025-08,22
38,ENT,2025-09,20
39,ENT,2025-10,19
40,Emergency,2025-01,39
41,Emergency,2025-02,36
42,Emergency,2025-03,30
43,Emergency,2025-04,31
44,Emergency,2025-05,45
45,Emergency,2025-06,39
46,Emergency,2025-07,35
47,Emergency,2025-08,32
48,Emergency,2025-09,24
49,Emergency,2025-10,24
50,Endocrinology,2025-01,35
51,Endocrinology,2025-02,32
52,Endocrinology,2025-03,33
53,Endocrinology,2025-04,32
54,Endocrinology,2025-05,27
55,Endocrinology,2025-06,43
56,Endocrinology,2025-07,25
57,Endocrinology,2025-08,30
58,Endocrinology,2025-09,31
59,Endocrinology,2025-10,31
60,Gastroenterology,2025-01,27
61,Gastroenterology,2025-02,26
62,Gastroenterology,2025-03,23
63,Gastroenterology,2025-04,30
64,Gastroenterology,2025-05,25
65,Gastroenterology,2025-06,25
66,Gastroenterology,2025-07,33
67,Gastroenterology,2025-08,27
68,Gastroenterology,2025-09,27
69,Gastroenterology,2025-10,17
70,General Surgery,2025-01,14
71,General Surgery,2025-02,13
72,General Surgery,2025-03,19
73,General Surgery,2025-04,24
74,General Surgery,2025-05,15
75,General Surgery,2025-06,25
76,General Surgery,2025-07,19
77,General Surgery,2025-08,15
78,General Surgery,2025-09,13
79,General Surgery,2025-10,18
80,Gynecology,2025-01,23
81,Gynecology,2025-02,12
82,Gynecology,2025-03,14
83,Gynecology,2025-04,16
84,Gynecology,2025-05,21
85,Gynecology,2025-06,13
86,Gynecology,2025-07,20
87,Gynecology,2025-08,16
88,Gynecology,2025-09,14
89,Gynecology,2025-10,10
90,ICU,2025-01,21
91,ICU,2025-02,29
92,ICU,2025-03,19
93,ICU,2025-04,26
94,ICU,2025-05,35
95,ICU,2025-06,29
96,ICU,2025-07,30
97,ICU,2025-08,22
98,ICU,2025-09,24
99,ICU,2025-10,18
100,Nephrology,2025-01,13
101,Nephrology,2025-02,21
102,Nephrology,2025-03,20
103,Nephrology,2025-04,26
104,Nephrology,2025-05,24
105,Nephrology,2025-06,17
106,Nephrology,2025-07,27
107,Nephrology,2025-08,31
108,Nephrology,2025-09,23
109,Nephrology,2025-10,16
110,Neurology,2025-01,17
111,Neurology,2025-02,18
112,Neurology,2025-03,19
113,Neurology,2025-04,12
114,Neurology,2025-05,19
115,Neurology,2025-06,27
116,Neurology,2025-07,23
117,Neurology,2025-08,21
118,Neurology,2025-09,23
119,Neurology,2025-10,21
120,Oncology,2025-01,49
121,Oncology,2025-02,23
122,Oncology,2025-03,36
123,Oncology,2025-04,38
124,Oncology,2025-05,27
125,Oncology,2025-06,33
126,Oncology,2025-07,35
127,Oncology,2025-08,37
128,Oncology,2025-09,29
129,Oncology,2025-10,24
130,Ophthalmology,2025-01,34
131,Ophthalmology,2025-02,26
132,Ophthalmology,2025-03,22
133,Ophthalmology,2025-04,32
134,Ophthalmology,2025-05,29
135,Ophthalmology,2025-06,21
136,Ophthalmology,2025-07,26
137,Ophthalmology,2025-08,22
138,Ophthalmology,2025-09,29
139,Ophthalmology,2025-10,27
140,Orthopedics,2025-01,46
141,Orthopedics,2025-02,31
142,Orthopedics,2025-03,32
143,Orthopedics,2025-04,27
144,Orthopedics,2025-05,32
145,Orthopedics,2025-06,23
146,Orthopedics,2025-07,31
147,Orthopedics,2025-08,32
148,Orthopedics,2025-09,37
149,Orthopedics,2025-10,29
150,Pediatrics,2025-01,32
151,Pediatrics,2025-02,26
152,Pediatrics,2025-03,33
153,Pediatrics,2025-04,24
154,Pediatrics,2025-05,28
155,Pediatrics,2025-06,23
156,Pediatrics,2025-07,24
157,Pediatrics,2025-08,33
158,Pediatrics,2025-09,26
159,Pediatrics,2025-10,28
160,Psychiatry,2025-01,23
161,Psychiatry,2025-02,18
162,Psychiatry,2025-03,25
163,Psychiatry,2025-04,30
164,Psychiatry,2025-05,25
165,Psychiatry,2025-06,30
166,Psychiatry,2025-07,26
167,Psychiatry,2025-08,23
168,Psychiatry,2025-09,27
169,Psychiatry,2025-10,26
170,Pulmonology,2025-01,24
171,Pulmonology,2025-02,41
172,Pulmonology,2025-03,32
173,Pulmonology,2025-04,33
174,Pulmonology,2025-05,27
175,Pulmonology,2025-06,25
176,Pulmonology,2025-07,33
177,Pulmonology,2025-08,34
178,Pulmonology,2025-09,37
179,Pulmonology,2025-10,31
180,Radiology,2025-01,30
181,Radiology,2025-02,26
182,Radiology,2025-03,27
183,Radiology,2025-04,29
184,Radiology,2025-05,23
185,Radiology,2025-06,23
186,Radiology,2025-07,29
187,Radiology,2025-08,22
188,Radiology,2025-09,29
189,Radiology,2025-10,28
190,Urology,2025-01,11
191,Urology,2025-02,16
192,Urology,2025-03,25
193,Urology,2025-04,18
194,Urology,2025-05,21
195,Urology,2025-06,24
196,Urology,2025-07,18
197,Urology,2025-08,10
198,Urology,2025-09,16
199,Urology,2025-10,10
